DayOfWeek,Date,PdDistrict
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Friday,01/03/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Thursday,01/02/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
Wednesday,01/01/2014,TENDERLOIN
